PeptideAtlas	GPMDB	ProteomicsDB	MaxQB	HPM
P00450	P04264	P02768	A0AV02	P19801
P06396	P63261	P63261	A0AV96	P49748
P02768	P60709	P60709	A0AVF1	Q9C0K3
P60709	P68032	P62736	A0AVI4	Q9BRR6
P02753	P62736	P68133	A0AVK6	P09923
P63261	P63267	P63267	A0AVT1	P10696
P01871	P35908	P04264	A0FGR8	P08758
P01876	P68133	P11142	A0JLT2	P02743
P01024	P13645	P68104	A0JNW5	P51693
P01834	P04259	Q5VTE0	A0MZ66	P02647
P01008	P35527	P35908	A0PJW6	P04114
P25311	P68363	A5A3E0	A0PJZ3	P02655
P00751	Q9BQE3	P68371	A0PK00	P02649
P04220	Q71U36	P04259	A1A4S6	P35613
P02790	P02768	P0CG38	A1A4Y4	P09871
P01877	P11142	P04406	A1IGU5	Q9UJQ1
P05090	P48668	P54652	A1KXE4	P04003
Q96PD5	A5A3E0	P68363	A1L020	P20851
P04264	P68366	P08238	A1L0T0	Q16602
P01023	P08238	P07437	A1L170	P04234
P08603	P68371	Q9BVA1	A1L188	P06127
P06727	Q13748	P35527	A1L390	P08174
P21333	Q7Z794	Q13885	A1L3X0	P10966
P10643	Q9BVA1	Q9BQE3	A1X283	P14209
P08697	P07437	P04350	A1XBS5	P08861
P02748	P04406	Q05639	A2A288	P00751
P02647	Q6PEY2	P0CG39	A2A2Y4	Q02985
P35579	P02538	P07900	A2A2Z9	O00533
P01009	P07900	P02538	A2A3N6	P26992
P00738	P13647	P68366	A2AJT9	P78357
P36955	P68104	Q562R1	A2RRD8	O43405
P05546	P05787	P13645	A2RRP1	P49747
P02763	Q13885	P11021	A2RTX5	P48052
P0CG05	Q13509	Q13748	A2RU67	P01034
P0CG06	P04350	P48668	A2RUB1	O76096
P68363	Q9NY65	P13647	A2RUB6	P40313
P02652	P54652	Q13509	A2RUC4	Q01524
P07437	P02533	Q3ZCM7	A2RUS2	Q15392
P02787	P11021	Q58FF8	A2VDF0	Q86YB7
Q6S8J3	Q562R1	Q06830	A2VDJ0	Q16610
P04406	P08107	P34931	A2VEC9	Q96A84
Q9Y490	P0CG38	P13639	A3KMH1	O94919
P35527	P14618	Q6PEY2	A3KN83	P17813
P01857	P21333	P61981	A4D0V7	P16422
P68371	O95678	P05787	A4D126	Q96DZ1
Q71U36	P08779	P06733	A4D161	P08709
P68032	P35579	P25705	A4D1E1	P23142
P02649	Q05639	P62937	A4D1E9	Q15485
P01019	P06733	P35579	A4D1P6	Q9UGM5
P02765	P0CG39	A6NNZ2	A4D1S0	P02671
P68133	P34931	P02533	A4D1S5	Q06828
P01042	P62979	O95678	A4D1U4	P50395
P62736	P17066	P62979	A4D2B0	P01242
P0C0L4	P0CG47	P38646	A4D2B8	Q8ND71
P63267	Q6S8J3	Q01546	A4FU69	P00505
P02774	P0CG48	P62258	A5A3E0	P51654
Q13748	Q5XKE5	P62987	A5D8V6	P08236
Q9BQE3	Q9BUF5	P10809	A5D8V7	O95479
P01031	P14625	P07195	A5PLL7	P55084
P02760	O43707	Q9BYX7	A5PLN9	P06865
P02750	P10809	P63104	A5YKK6	P13765
B9A064	P12814	P08779	A5YM69	P04440
P0C0L5	P08670	P23528	A5YM72	P01920
P0CG04	P63104	Q9NY65	A6H8Y1	P35914
P02656	P13646	Q92945	A6NC98	P00738
P01011	P04075	A6NKZ8	A6NCE7	P14625
P68366	P13639	P17066	A6NCS6	P83110
P06681	P08729	Q9BUF5	A6ND36	Q9Y4L1
P0CF74	P19013	Q58FF7	A6NDB9	P05362
P02766	P08727	P08729	A6NDG6	Q9Y5U9
Q9BVA1	P19012	P00338	A6NDJ8	P22692
P04350	P07355	Q00610	A6NDU8	P24593
P06733	Q04695	P04075	A6NDY0	Q5DX21
O75882	P62807	P31946	A6NED2	Q969P0
P13645	P58876	P78527	A6NF01	Q96S16
Q13885	P00338	Q5XKE5	A6NFI3	Q7Z4H8
P02655	Q93079	Q04695	A6NFQ2	Q6UXG2
P69905	O60814	P14625	A6NGH7	O15230
P68871	Q99879	Q7Z794	A6NGR9	P55268
Q6PEY2	P61978	P23396	A6NH11	Q12907
P19652	Q01546	Q15365	A6NHJ4	Q9BZG9
P68104	P23527	P06576	A6NHL2	Q14696
P02675	P06899	P08670	A6NHQ2	Q9H8L6
P08238	P23528	P19013	A6NHQ4	O15235
P08670	P33778	P27708	A6NHR9	Q9UJ68
A0M8Q6	P62805	P12035	A6NHT5	Q9Y3D2
