mass, isoelectric point, gravy, length, type
507.199898,3.899475,0.34,5,acid
573.348612,8.950378,0.02,5,basic
3226.721276,4.535217,0.67,30,acid
889.469137,8.950378,0.0,8,basic
1670.874018,6.270691,-0.52,15,neutral
1307.658212,6.000671,-0.05,16,neutral
2357.263098,4.389099,-0.091,23,acid
3272.47793,3.667053,-0.157,35,acid
2075.053499,4.099426,-0.439,18,acid
2157.063001,5.993835,-0.206,18,neutral
2450.291955,4.542053,0.57,20,acid
582.337712,6.000671,-1.22,5,neutral
892.447674,8.469299,0.225,8,basic
805.392996,5.858826,-0.638,8,neutral
604.306806,4.389099,-1.56,5,acid
2033.947653,4.237854,-0.265,20,acid
813.380322,8.485535,-0.5,8,basic
816.470518,5.858826,0.271,7,neutral
922.621539,8.950378,1.388,8,basic
2874.502827,6.266418,0.321,28,neutral
2771.460628,5.530701,-0.648,27,neutral
1416.772513,7.092712,-0.983,12,basic
3067.327895,3.509827,-0.933,30,acid
910.425693,5.530701,-1.1,9,neutral
2291.18063,6.893616,0.765,20,neutral
1607.798394,6.899597,-0.179,14,neutral
2461.070347,5.856262,-1.088,24,neutral
747.339897,4.389099,-1.957,7,acid
2699.541445,8.548767,1.267,24,basic
2166.023795,5.458923,-0.394,18,neutral
1519.718823,3.930237,-0.354,13,acid
2556.326426,3.851624,0.727,22,acid
1920.888742,8.512878,-0.511,18,basic
580.304304,8.469299,1.54,5,basic
633.290445,5.856262,-1.04,5,neutral
1091.561123,4.535217,-0.389,9,acid
4198.944306,4.730896,-1.078,36,acid
1803.8468,4.15155,-0.073,15,acid
562.322731,9.750183,0.7,5,basic
1594.846741,5.459778,0.247,15,neutral
653.38606,8.96405,-0.117,6,basic
2025.902812,3.852478,-0.776,21,acid
3624.917847,4.068665,0.363,35,acid
853.436775,8.34198,0.1,7,basic
844.44028,6.000671,-1.114,7,neutral
1137.488175,8.269348,0.77,10,basic
2328.069877,4.389099,-0.753,19,acid
5971.987229,4.226746,-0.071,52,acid
858.398415,5.858826,-1.013,8,neutral
655.322414,8.515442,0.0,6,basic
2133.085468,5.530701,-0.144,18,neutral
1171.544428,8.358215,-0.02,10,basic
2003.032369,4.809509,-0.541,17,acid
1201.568728,6.905579,-0.817,12,neutral
1178.54687,8.548767,-0.964,11,basic
808.396684,5.998962,-1.1,7,neutral
736.375555,5.857971,0.071,7,neutral
1916.876068,8.333435,0.211,18,basic
1191.733943,8.944397,-0.3,10,basic
905.399144,5.858826,-1.838,8,neutral
1039.563706,8.96405,0.275,8,basic
3067.493585,5.458923,0.181,27,neutral
3157.723444,5.998962,0.43,30,neutral
942.459301,6.902161,-0.537,8,neutral
2078.026847,8.593201,-1.122,18,basic
