mass, isoelectric point, gravy, length, type
2.4,5.5,0.5,21,setosa
0.8,6,-0.6,7,setosa
2.9,4.1,0.9,27,versicolor
4.3,3.8,-0.7,38,versicolor
0.6,5.9,-0.5,5,setosa
2.9,5.9,0.5,26,setosa
0.7,6.9,-0.4,6,setosa
3.8,3.9,-0.8,32,versicolor
1.8,4.7,-1.5,17,versicolor
2.8,3.9,1.5,24,versicolor
2.5,6.5,-0.1,22,setosa
0.7,4.4,0.2,6,versicolor
0.9,3.9,-0.6,10,versicolor
3.2,4.1,-0.8,28,versicolor
0.9,9.8,-1.3,8,virginica
1.9,4.1,0.2,17,versicolor
2.2,4.3,-1,21,versicolor
1.5,4,-1.6,10,versicolor
0.8,9,0.1,7,virginica
1.6,6,-0.7,15,setosa
1,8.4,-1.6,8,virginica
0.8,6.9,-1.2,6,setosa
0.9,8.5,-1,8,virginica
1.1,3.9,-1.7,9,versicolor
0.9,4.5,-0.6,7,versicolor
2.3,4.7,-0.4,21,versicolor
1.1,6,-0.7,9,setosa
0.5,5.7,-0.3,5,setosa
0.8,9,-1.4,7,virginica
2.3,4,-0.3,18,versicolor
2.4,4.3,0.7,23,versicolor
1.2,8.5,-1.8,10,virginica
3,4,-0.6,29,versicolor
2,4.5,-0.3,21,versicolor
3.3,4,-0.8,31,versicolor
5.7,3.9,-0.4,56,versicolor
1.4,4.2,-0.2,13,versicolor
1.1,8.5,1,10,virginica
0.7,4.2,-0.6,7,versicolor
0.8,5.9,-2.3,6,setosa
1.6,4.4,0.6,14,versicolor
1.8,6.9,-1.2,15,setosa
0.6,9,-0.5,5,virginica
1.2,6,-0,12,setosa
0.8,6,-1,6,setosa
1,9.8,0.1,10,virginica
0.7,9.8,0.5,7,virginica
0.7,5.9,-1.4,5,setosa
1.2,6.9,-0.4,10,setosa
0.8,4.4,-1,8,versicolor
2.5,8.3,-0.6,25,virginica
0.8,4.4,-1.1,7,versicolor
0.8,9.8,-0,7,virginica
1.3,6.9,0.4,11,setosa
2.5,3.8,-0.5,20,versicolor
1.8,4.2,-1.3,15,versicolor
1.6,6.9,-0.5,14,setosa
1.9,4,-0.4,16,versicolor
1.7,4.7,-0.6,15,versicolor
1.3,11.2,-1.2,12,virginica
1.5,3.6,-1.9,13,versicolor
0.9,4.2,-2.7,7,versicolor
0.9,4.4,-1.1,8,versicolor
0.6,9.8,-1,5,virginica
1.4,6,0.3,14,setosa
0.8,3.9,1.1,7,versicolor
0.8,9.8,-0.2,8,virginica
0.8,6,0.1,6,setosa
0.6,8.5,-0.6,5,virginica
0.9,4.5,-1.8,7,versicolor
1.9,4.2,-0.1,17,versicolor
0.6,9.8,-0.9,5,virginica
0.5,4.1,0.6,5,versicolor
2.1,6.9,0.4,18,setosa
2.4,9,1.1,22,virginica
4.3,4.4,0.5,41,versicolor
0.8,6,-0.5,7,setosa
4.5,4.1,-0.8,41,versicolor
3.5,8.4,1.4,33,virginica
1.5,8.4,1.4,11,virginica
1.1,5.5,-0.6,10,setosa
2.4,5.9,0.5,23,setosa
0.9,5.9,-0.9,8,setosa
0.7,9,1.3,7,virginica
1.8,4.5,0.3,16,versicolor
2.7,3.9,-0.1,25,versicolor
1.2,4.2,-1.1,10,versicolor
5.1,3.7,-1,49,versicolor
0.5,5.7,3.1,5,setosa
